country,founded,id,industry,linkedin_url,locality,name,region,size,website,country_iso2
united states,2011,epicycle-llc,computer games,linkedin.com/company/epicycle-llc,new york,"epicycle, llc",new york,1-10,blindsidegame.com,US
united states,2011,hidden-achievement,computer games,linkedin.com/company/hidden-achievement,austin,hidden achievement,texas,1-10,hiddenachievement.com,US
united states,2011,rocketpop-games-llc,computer games,linkedin.com/company/rocketpop-games-llc,plano,rocketpop games llc,texas,11-50,rocketpopgames.com,US
,2011,zippy-brains,computer games,linkedin.com/company/zippy-brains,,zippy brains,,1-10,,
united states,2011,seismic-games,computer games,linkedin.com/company/seismic-games,los angeles,seismic games,california,11-50,seismicgames.com,US
finland,2011,theory-interactive,computer games,linkedin.com/company/theory-interactive,espoo,theory interactive,uusimaa,1-10,theoryinteractive.net,FI
canada,2011,uni-bit-company,computer games,linkedin.com/company/uni-bit-company,cornwall,uni-bit studio inc.,ontario,51-200,uni-bit.com,CA
sweden,2011,feo-media-ab,computer games,linkedin.com/company/feo-media-ab,,feo media ab,saintckholm,51-200,feomedia.com,SE
indonesia,2011,joombi-games,computer games,linkedin.com/company/joombi-games,,joombi games,,51-200,joombi.net,ID
,2011,interactive-systems-studio,computer games,linkedin.com/company/interactive-systems-studio,,interactive systems studio,,1-10,iss.io,
,2011,cwerki-studios,computer games,linkedin.com/company/cwerki-studios,,cwerki studios,,1-10,cwerki.com,
,2011,onoff-gaming-llc,computer games,linkedin.com/company/onoff-gaming-llc,,"onoff gaming, llc",,1-10,onoffgaming.com,
turkey,2011,mobge,computer games,linkedin.com/company/mobge,tepebasi,mobge,hakkari,1-10,mobge.net,TR
united states,2011,playdek,computer games,linkedin.com/company/playdek,carlsbad,playdek inc.,california,11-50,playdekgames.com,US
united kingdom,2011,liquid-violet-ltd,computer games,linkedin.com/company/liquid-violet-ltd,london,liquid violet ltd,greater london,1-10,liquidviolet.co.uk,GB
united kingdom,2011,subterranean-games,computer games,linkedin.com/company/subterranean-games,,subterranean games,,11-50,subterraneangames.com,GB
united states,2011,hidden-variable-studios,computer games,linkedin.com/company/hidden-variable-studios,glendale,hidden variable studios,california,1-10,hiddenvariable.com,US
united states,2011,wonderverse,computer games,linkedin.com/company/wonderverse,burbank,wonderverse,california,11-50,wonderversegames.com,US
italy,2011,unrealsfx,computer games,linkedin.com/company/unrealsfx,rome,unrealsfx,lazio,1-10,unrealsfx.com,IT
france,2011,pixcook,computer games,linkedin.com/company/pixcook,paris,pixcook,ile-de-france,1-10,pixcook.com,FR
russia,2011,gamexy,computer games,linkedin.com/company/gamexy,,gamexy,saint-petersburg,1-10,gamexy.ru,RU
,2011,okugi-studio,computer games,linkedin.com/company/okugi-studio,,okugi studio,,1-10,okugistudio.com,
poland,2011,nano-titans,computer games,linkedin.com/company/nano-titans,warsaw,nano titans,mazovia,1-10,nanotitans.com,PL
,2011,zms-bilgi-sistemleri-ltd-ti-,computer games,linkedin.com/company/zms-bilgi-sistemleri-ltd-ti-,,zms bilgi sistemleri ltd.şti.,,1-10,yedioyun.com,
,2011,ivsme-llc,computer games,linkedin.com/company/ivsme-llc,,ivsme llc,,1-10,ivsme.com,
finland,2011,nordicedu-oy,computer games,linkedin.com/company/nordicedu-oy,turku,nordicedu ltd,finland proper,1-10,nordicedu.com,FI
united states,2011,raindropgames,computer games,linkedin.com/company/raindropgames,santa clara,"raindrop games, pbc",california,1-10,raindropgames.com,US
united states,2011,moblab-inc,computer games,linkedin.com/company/moblab-inc,pasadena,moblab,california,1-10,moblab.com,US
united states,2011,athcraft-online-gaming,computer games,linkedin.com/company/athcraft-online-gaming,charleston,athcraft online gaming,south carolina,1-10,athcraft.com,US
united kingdom,2011,xitol-softworks,computer games,linkedin.com/company/xitol-softworks,,xitol softworks,,11-50,,GB
united states,2011,yetizen,computer games,linkedin.com/company/yetizen,san francisco,yetizen,california,1-10,yetizen.com,US
united kingdom,2011,digicub-ltd-,computer games,linkedin.com/company/digicub-ltd-,london,digicub ltd,greater london,1-10,digicub.com,GB
czechia,2011,warhorse-studios,computer games,linkedin.com/company/warhorse-studios,,warhorse studios,,51-200,warhorsestudios.cz,CZ
united states,2011,azubu-tv,computer games,linkedin.com/company/azubu-tv,sherman oaks,azubu,california,51-200,azubu.tv,US
france,2011,tartine,computer games,linkedin.com/company/tartine,paris,tartine,ile-de-france,1-10,tartinegames.com,FR
finland,2011,skillpixels,computer games,linkedin.com/company/skillpixels,helsinki,skillpixels,uusimaa,1-10,skillpixels.com,FI
brazil,2011,ipanema-games,computer games,linkedin.com/company/ipanema-games,,ipanema games,,1-10,ipanemagames.com,BR
,2011,dmd-enterprise,computer games,linkedin.com/company/dmd-enterprise,,dmd enterprise,,1-10,dmdenterprise.com,
spain,2011,badland-games,computer games,linkedin.com/company/badland-games,,badland games,madrid,11-50,badlandgames.com,ES
canada,2011,fuelpowered,computer games,linkedin.com/company/fuelpowered,vancouver,fuel powered,british columbia,11-50,fuelpowered.com,CA
united kingdom,2011,appynation,computer games,linkedin.com/company/appynation,,appynation,,11-50,appynation.com,GB
,2011,splashdown-games,computer games,linkedin.com/company/splashdown-games,,splashdown games,,1-10,splashdowngames.com,
,2011,dna-gamelab,computer games,linkedin.com/company/dna-gamelab,,dna gamelab,,1-10,,
united states,2011,young-horses,computer games,linkedin.com/company/young-horses,chicago,young horses games,illinois,1-10,younghorsesgames.com,US
spain,2011,yos-hi-studios-s-l,computer games,linkedin.com/company/yos-hi-studios-s-l,madrid,yos hi studios s.l.,madrid,1-10,yoshistudios.com,ES
austria,2011,gamegestalt,computer games,linkedin.com/company/gamegestalt,,game gestalt,vienna,1-10,gamegestalt.com,AT
,2011,fundemic,computer games,linkedin.com/company/fundemic,,fundemic,,1-10,fundemic.com,
,2011,the-distraction-lab,computer games,linkedin.com/company/the-distraction-lab,,the distraction lab,,1-10,distractionlab.com,
austria,2011,vienom,computer games,linkedin.com/company/vienom,,vienom,vienna,1-10,vienom.com,AT
mexico,2011,veritas-intus,computer games,linkedin.com/company/veritas-intus,mexico city,veritas intus,mexico city,1-10,veritasintus.com,MX
,2011,oneeyeant,computer games,linkedin.com/company/oneeyeant,,oneeyeant,,1-10,oneeyeant.com,
,2011,code-forge,computer games,linkedin.com/company/code-forge,,code forge,,1-10,codeforgegames.com,
united kingdom,2011,push-square,computer games,linkedin.com/company/push-square,loughborough,push square,leicestershire,1-10,pushsquare.com,GB
india,2011,mech-mocha,computer games,linkedin.com/company/mech-mocha,bengaluru,mech mocha,karnataka,1-10,mechmocha.com,IN
,2011,koriarts,computer games,linkedin.com/company/koriarts,,koriarts,,11-50,koriarts.com,
united states,2011,stigma-games,computer games,linkedin.com/company/stigma-games,,stigma games,california,1-10,stigmagames.com,US
united states,2011,adaptivelite,computer games,linkedin.com/company/adaptivelite,novi,adaptivelite,michigan,1-10,adaptivelite.com,US
,2011,plonga-media,computer games,linkedin.com/company/plonga-media,,plonga media,,1-10,plonga.com,
canada,2011,nine-dots-studio,computer games,linkedin.com/company/nine-dots-studio,quebec,nine dots studio,quebec,1-10,ninedotsstudio.com,CA
,2011,tinker-games,computer games,linkedin.com/company/tinker-games,,tinker games,,11-50,tinkerworlds.com,
spain,2011,pixel-ratio-s-c-,computer games,linkedin.com/company/pixel-ratio-s-c-,mérida,pixel ratio,extremadura,1-10,pixelratio.es,ES
united kingdom,2011,gamesadv,computer games,linkedin.com/company/gamesadv,london,gamesadv,greater london,1-10,gamesadv.com,GB
,2011,terasology,computer games,linkedin.com/company/terasology,,the terasology foundation,,51-200,,
,2011,league-of-legends-portugal,computer games,linkedin.com/company/league-of-legends-portugal,,league of legends portugal,,11-50,lplol.pt,
spain,2011,g4m3-studios,computer games,linkedin.com/company/g4m3-studios,madrid,g4m3 studios,madrid,11-50,g4m3studios.com,ES
united states,2011,heroic-entertainment,computer games,linkedin.com/company/heroic-entertainment,culver city,heroic entertainment,california,1-10,heroic-entertainment.se,US
singapore,2011,sea-gaming-pte-ltd,computer games,linkedin.com/company/sea-gaming-pte-ltd,singapore,sea gaming pte ltd,central singapore,11-50,seagaming.net,SG
united states,2011,city-state-entertainment-llc-,computer games,linkedin.com/company/city-state-entertainment-llc-,fairfax,city state entertainment,virginia,11-50,citystateentertainment.com,US
australia,2011,bitgem,computer games,linkedin.com/company/bitgem,,bitgem,,1-10,bitgem3d.com,AU
bulgaria,2011,game-craft,computer games,linkedin.com/company/game-craft,,game craft,sofia,1-10,game-craft.com,BG
united states,2011,bat-country-entertainment,computer games,linkedin.com/company/bat-country-entertainment,east greenbush,bat country entertainment,new york,1-10,batcountryentertainment.com,US
sweden,2011,pixeldiet-entertainment-ab,computer games,linkedin.com/company/pixeldiet-entertainment-ab,,pixeldiet entertainment ab,saintckholm,1-10,pixeldiet.se,SE
united states,2011,bronco-esports,computer games,linkedin.com/company/bronco-esports,pomona,bronco esports,california,11-50,facebook.com/broncoesports,US
india,2011,mobile-game-development,computer games,linkedin.com/company/mobile-game-development,bengaluru,mobile game development studio,karnataka,51-200,,IN
india,2011,playzio,computer games,linkedin.com/company/playzio,,playzio,telangana,11-50,playzio.com,IN
malaysia,2011,appxplore,computer games,linkedin.com/company/appxplore,kuala lumpur,appxplore,kuala lumpur,11-50,appxplore.com,MY
bulgaria,2011,mena-software,computer games,linkedin.com/company/mena-software,,mena software,,11-50,menasoftware.com,BG
,2011,sthlm-e-sport,computer games,linkedin.com/company/sthlm-e-sport,,sthlm e-sport,,11-50,sthlmesport.se,
united states,2011,playsaurus-inc-,computer games,linkedin.com/company/playsaurus-inc-,los angeles,playsaurus inc.,california,1-10,clickerheroes.com,US
,2011,broken-compass-studios,computer games,linkedin.com/company/broken-compass-studios,,broken compass studios,,1-10,brokencompassstudios.com,
united kingdom,2011,playcanvas,computer games,linkedin.com/company/playcanvas,london,playcanvas,greater london,1-10,playcanvas.com,GB
,2011,happi-papi,computer games,linkedin.com/company/happi-papi,,happi papi,,1-10,happipapi.com,
,2011,gameelites,computer games,linkedin.com/company/gameelites,,gameelites,,1-10,gameelites.com,
israel,2011,gameis,computer games,linkedin.com/company/gameis,,gameis,,11-50,gameis.org.il,IL
,2011,david-walters-development,computer games,linkedin.com/company/david-walters-development,,david walters development,,1-10,davidwaltersdevelopment.com,
,2011,unknown-gamer,computer games,linkedin.com/company/unknown-gamer,,unknown gamer,,1-10,unknowngamer.co.uk,
argentina,2011,boxitsoft,computer games,linkedin.com/company/boxitsoft,mar del plata,boxitsoft,buenos aires,11-50,boxitsoft.com,AR
spain,2011,bingo-electronico,computer games,linkedin.com/company/bingo-electronico,,bingo electronico,valencia,1-10,bingoelectronico.es,ES
czechia,2011,dreadlocks,computer games,linkedin.com/company/dreadlocks,prague,dreadlocks,praha,11-50,dreadlocksltd.co.uk,CZ
france,2011,clan-of-the-cloud,computer games,linkedin.com/company/clan-of-the-cloud,montpellier,clan of the cloud,occitanie,1-10,clanofthecloud.com,FR
france,2011,the-gfactory,computer games,linkedin.com/company/the-gfactory,lyon,the gfactory,auvergne-rhône-alpes,11-50,the-gfactory.com,FR
united kingdom,2011,pacific-interactive-limited,computer games,linkedin.com/company/pacific-interactive-limited,,pacific interactive limited,,51-200,pacific-interactive.net,GB
united states,2011,sof-studios,computer games,linkedin.com/company/sof-studios,southern pines,sof studios,north carolina,11-50,sofstudios.com,US
,2011,32-leap,computer games,linkedin.com/company/32-leap,,32 leap,,1-10,32leap.com,
,2011,hogrocket,computer games,linkedin.com/company/hogrocket,,hogrocket,,1-10,hogrocket.com,
united states,2011,dark-ice-studios,computer games,linkedin.com/company/dark-ice-studios,cudahy,dark ice studios,wisconsin,1-10,darkicestudios.com,US
united kingdom,2011,tofu-testing,computer games,linkedin.com/company/tofu-testing,brighton,tofu-testing,brighton and hove,1-10,tofu-testing.com,GB
south korea,2011,cravemob,computer games,linkedin.com/company/cravemob,seoul,cravemob,seoul,11-50,cravemob.net,KR
,2011,syphra-llc,computer games,linkedin.com/company/syphra-llc,,syphra llc,,1-10,syphra.com,
netherlands,2011,iloveyoutool,computer games,linkedin.com/company/iloveyoutool,amsterdam,iloveyoutool,noord-holland,1-10,iloveyoutool.com,NL
canada,2011,unlok,computer games,linkedin.com/company/unlok,kelowna,unlok,british columbia,1-10,unlok.ca,CA
united states,2011,quizfortune,computer games,linkedin.com/company/quizfortune,san francisco,quizfortune,california,1-10,quizfortune.com,US
,2011,clandesdyne-llc,computer games,linkedin.com/company/clandesdyne-llc,,clandesdyne llc,,1-10,,
,2011,studio-pangea,computer games,linkedin.com/company/studio-pangea,,studio pangea,,1-10,studiopangea.com,
united states,2011,art-science-labs,computer games,linkedin.com/company/art-science-labs,los angeles,art + science labs,california,11-50,artscilabs.com,US
australia,2011,brr-games,computer games,linkedin.com/company/brr-games,skye,brr games,victoria,1-10,brrgames.com,AU
united kingdom,2011,rogue-vector,computer games,linkedin.com/company/rogue-vector,,rogue vector,,1-10,roguevector.com,GB
,2011,recess-studios,computer games,linkedin.com/company/recess-studios,,recess studios,,11-50,recessstudios.com,
united states,2011,kendosoft,computer games,linkedin.com/company/kendosoft,rexburg,kendosoft,idaho,1-10,kendosoft.com,US
,2011,gameup-the-new-game-experience,computer games,linkedin.com/company/gameup-the-new-game-experience,,gameup the new game experience,,1-10,game-up.it,
turkey,2011,durmaplay,computer games,linkedin.com/company/durmaplay,tepebasi,durma information and communication inc,diyarbakir,11-50,durmaplay.com,TR
,2011,pucara-studios,computer games,linkedin.com/company/pucara-studios,,pucara studios,,1-10,,
united states,2011,caffeinated,computer games,linkedin.com/company/caffeinated,los angeles,caffeinated,california,1-10,caffeinated.co,US
canada,2011,sava-transmedia,computer games,linkedin.com/company/sava-transmedia,montreal,sava transmedia,quebec,11-50,sava.com,CA
,2011,competitive-spain,computer games,linkedin.com/company/competitive-spain,,competitive spain,,11-50,competitivespain.com,
cyprus,2011,room-8,computer games,linkedin.com/company/room-8,,room 8 studio,,51-200,room8studio.com,CY
,2011,bitclay,computer games,linkedin.com/company/bitclay,,bitclay,,1-10,bitclay.net,
united states,2011,kihon,computer games,linkedin.com/company/kihon,tucson,kihon,arizona,11-50,kihongames.com,US
sweden,2011,chillbro-studios-ab,computer games,linkedin.com/company/chillbro-studios-ab,,chillbro studios ab,,1-10,chillbro.net,SE
france,2011,moonbird-game-studio,computer games,linkedin.com/company/moonbird-game-studio,haguenau,moonbird game studio,grand est,1-10,moonbirdgamestudio.com,FR
finland,2011,d-cron-studios-ltd-,computer games,linkedin.com/company/d-cron-studios-ltd-,tampere,décron studios ltd.,pirkanmaa,1-10,decronstudios.com,FI
,2011,gameforge-mobile,computer games,linkedin.com/company/gameforge-mobile,,gameforge mobile,,11-50,gameforge-mobile.com,
spain,2011,badland-games-uk,computer games,linkedin.com/company/badland-games-uk,,badland games uk,madrid,11-50,badlandindie.com,ES
peru,2011,nintendope,computer games,linkedin.com/company/nintendope,lima,nintendo pe,lima,11-50,nintendo.pe,PE
norway,2011,myxmg,computer games,linkedin.com/company/myxmg,oslo,myxmg.esports,oslo,1-10,myxmg.eu,NO
united states,2011,rolar-studios,computer games,linkedin.com/company/rolar-studios,westbury,rolar studios,new york,1-10,rolarstudios.com,US
ukraine,2011,kevuru-games,computer games,linkedin.com/company/kevuru-games,kyiv,kevuru games,kyiv city,11-50,kevurugames.com,UA
united kingdom,2011,fallen-tree-games,computer games,linkedin.com/company/fallen-tree-games,,fallen tree games,nottinghamshire,1-10,fallentreegames.com,GB
canada,2011,noodlecake,computer games,linkedin.com/company/noodlecake,saskatoon,noodlecake studios,saskatchewan,11-50,noodlecake.com,CA
chile,2011,gamersx,computer games,linkedin.com/company/gamersx,maipu,gamersx,region metropolitana,1-10,gamersx.cl,CL
sweden,2011,level-eight-ab,computer games,linkedin.com/company/level-eight-ab,umea,level eight ab,vasterbottens lan,11-50,leveleight.se,SE
,2011,bat&octopussoftware,computer games,linkedin.com/company/bat&octopussoftware,,bat & octopus software,,1-10,batoct.com,
,2011,nullspace-entertainment-llc,computer games,linkedin.com/company/nullspace-entertainment-llc,,"nullspace entertainment, llc",,1-10,facebook.com/nullspacegames,
denmark,2011,captain-squiddy,computer games,linkedin.com/company/captain-squiddy,horsens,captain squiddy,midtjylland,1-10,captainsquiddy.com,DK
,2011,pygmy-games,computer games,linkedin.com/company/pygmy-games,,pygmy games,,1-10,pygmy-games.com,
,2011,project-239-inc-,computer games,linkedin.com/company/project-239-inc-,,"project 239, inc.",,1-10,project239.com,
united states,2011,women-in-games-boston,computer games,linkedin.com/company/women-in-games-boston,cambridge,women in games boston,massachusetts,1-10,wigboston.wigboston.wordpress.com,US
,2011,tgt-studios,computer games,linkedin.com/company/tgt-studios,,tgt studios,,1-10,tgtstudios.com,
,2011,catalina-games,computer games,linkedin.com/company/catalina-games,,catalina games,,1-10,catalinagames.com,
italy,2011,piccolo,computer games,linkedin.com/company/piccolo,sant'anastasia,piccolo,campania,11-50,panpiccolo.com,IT
united kingdom,2011,paw-print-games-ltd,computer games,linkedin.com/company/paw-print-games-ltd,chester,paw print games ltd,cheshire,1-10,pawprintgames.com,GB
poland,2011,bizmine-technologies,computer games,linkedin.com/company/bizmine-technologies,warsaw,bizmine technologies,mazowieckie,11-50,bizmine.org,PL
indonesia,2011,qeon-interactive,computer games,linkedin.com/company/qeon-interactive,jakarta,qeon interactive,jakarta,51-200,qeon.co.id,ID
united kingdom,2011,nomad-games-ltd,computer games,linkedin.com/company/nomad-games-ltd,cheshire,nomad games ltd,cheshire,11-50,nomadgames.co.uk,GB
united kingdom,2011,ragtag-developments-ltd,computer games,linkedin.com/company/ragtag-developments-ltd,banbury,ragtag developments ltd,oxfordshire,1-10,ragtagdev.com,GB
china,2011,深圳市乐易网络有限公司,computer games,linkedin.com/company/深圳市乐易网络有限公司,shenzhen,深圳市乐易网络有限公司,guangdong,51-200,leyinetwork.com,CN
united kingdom,2011,igp-games-ltd,computer games,linkedin.com/company/igp-games-ltd,london,igp games ltd,england,1-10,igpmanager.com,GB
,2011,sumersi-n-studio,computer games,linkedin.com/company/sumersi-n-studio,,sumersión studio,,11-50,,
,2011,runic-raven-entertainment-llc,computer games,linkedin.com/company/runic-raven-entertainment-llc,,"runic raven entertainment, llc",,11-50,runicravenentertainment.com,
,2011,tinhat-soaftware-ltd.,computer games,linkedin.com/company/tinhat-soaftware-ltd.,,tinhat soaftware ltd.,,11-50,tinhatsoftware.com,
hungary,2011,gamersroom-kft-,computer games,linkedin.com/company/gamersroom-kft-,,gamersroom ltd.,budapest,1-10,gamersroom.hu,HU
spain,2011,cerberusclub-s-l,computer games,linkedin.com/company/cerberusclub-s-l,las palmas de gran canaria,cerberus esports club s.l,canary islands,1-10,cerberusclub.eu,ES
,2011,mintsphere,computer games,linkedin.com/company/mintsphere,,mintsphere (pt.lingkar daun kreasindo),,1-10,,
,2011,vl-studios-llc,computer games,linkedin.com/company/vl-studios-llc,,vl studios llc,,1-10,vierraleguille.com,
united states,2011,juegos-rancheros,computer games,linkedin.com/company/juegos-rancheros,austin,juegos rancheros,texas,1-10,juegosrancheros.com,US
israel,2011,bday,computer games,linkedin.com/company/bday,,bday,,1-10,bdayteam.com,IL
united kingdom,2011,ripstone,computer games,linkedin.com/company/ripstone,,ripstone,liverpool,1-10,ripstone.com,GB
,2011,3rdkind-inc-,computer games,linkedin.com/company/3rdkind-inc-,,3rdkind inc.,,1-10,3rdkind-inc.com,
united states,2011,confident-gamers,computer games,linkedin.com/company/confident-gamers,sandy spring,confident gamers,maryland,1-10,confidentgamers.com,US
spain,2011,arcan-studios,computer games,linkedin.com/company/arcan-studios,granada,arcan studios,andalucia,1-10,arcanstudios.com,ES
canada,2011,colorspace,computer games,linkedin.com/company/colorspace,montreal,colorspace studio,quebec,1-10,colorspacestudio.com,CA
india,2011,avettor-technosoft-pvt-ltd,computer games,linkedin.com/company/avettor-technosoft-pvt-ltd,,avettor technosoft pvt.ltd,,11-50,avettor.com,IN
,2011,button-mash-games,computer games,linkedin.com/company/button-mash-games,,button mash games,,1-10,buttonmashgames.com,
united states,2011,hypercane-studios,computer games,linkedin.com/company/hypercane-studios,vancouver,hypercane studios,washington,1-10,hypercanestudios.com,US
,2011,gameadu,computer games,linkedin.com/company/gameadu,,gameadu,,1-10,gameadu.com,
united kingdom,2011,big-bit-ltd,computer games,linkedin.com/company/big-bit-ltd,,big bit ltd,east sussex,11-50,bigbit.co.uk,GB
,2011,happy-little-aliens-ltd,computer games,linkedin.com/company/happy-little-aliens-ltd,,happy little aliens ltd,,1-10,happylittlealiens.com,
united states,2011,topspin-networks-inc-,computer games,linkedin.com/company/topspin-networks-inc-,fort lauderdale,"topspin networks, inc.",florida,1-10,topspinnetworks.com,US
colombia,2011,fiklar,computer games,linkedin.com/company/fiklar,,el rincón de fíklar,tolima,1-10,facebook.com/fiklar,CO
canada,2011,snaketakes-studios,computer games,linkedin.com/company/snaketakes-studios,,snaketakes studios,,1-10,eotbgame.com,CA
united states,2011,netrogen-blue-llc,computer games,linkedin.com/company/netrogen-blue-llc,apex,netrogen blue llc,north carolina,1-10,netrogenblue.com,US
italy,2011,idomina-esports,computer games,linkedin.com/company/idomina-esports,alba,idomina esports,piemonte,1-10,idominaesport.com,IT
india,2011,leongames-pvt-ltd,computer games,linkedin.com/company/leongames-pvt-ltd,hyderabad,leon games,andhra pradesh,51-200,leongames.com,IN
united states,2011,zobee,computer games,linkedin.com/company/zobee,atlanta,zobee & fantasy coach,georgia,11-50,,US
,2011,cashplay-co,computer games,linkedin.com/company/cashplay-co,,cashplay,,11-50,cashplay.co,
united states,2011,meteor-entertainment,computer games,linkedin.com/company/meteor-entertainment,pasadena,meteor entertainment,california,11-50,meteor-ent.com,US
united states,2011,black-banshee-studios,computer games,linkedin.com/company/black-banshee-studios,winter park,black banshee studios,florida,1-10,blackbansheestudios.com,US
united states,2011,playstudios,computer games,linkedin.com/company/playstudios,burlingame,playstudios,california,51-200,playstudios.com,US
russia,2011,pearlkid-llc,computer games,linkedin.com/company/pearlkid-llc,,pearlkid studio,saint-petersburg,11-50,pearlkid.com,RU
,2011,pixel-elephant,computer games,linkedin.com/company/pixel-elephant,,pixel elephant,,1-10,pixelelephant.com,
sweden,2011,three-gates,computer games,linkedin.com/company/three-gates,visby,three gates,gotland,11-50,threegates.se,SE
australia,2011,camshaft-software,computer games,linkedin.com/company/camshaft-software,caulfield south,camshaft software,victoria,1-10,camshaftsoftware.com,AU
,2011,anhero-inc.,computer games,linkedin.com/company/anhero-inc.,,anhero inc.,,1-10,anhero.net,
united states,2011,alchimia-studios,computer games,linkedin.com/company/alchimia-studios,provo,alchimia studios,utah,1-10,alchimiastudios.com,US
france,2011,royalcactus,computer games,linkedin.com/company/royalcactus,aix-en-provence,royalcactus,provence-alpes-cote d'azur,11-50,royalcactus.com,FR
singapore,2011,immersive-play-pte-ltd,computer games,linkedin.com/company/immersive-play-pte-ltd,singapore,immersive play pte ltd,central singapore,11-50,ipspaces.com,SG
japan,2011,aiming-inc-,computer games,linkedin.com/company/aiming-inc-,,aiming inc.,,501-1000,aiming-inc.com,JP
united states,2011,skyward-corp-,computer games,linkedin.com/company/skyward-corp-,longmont,skyward* corp.,colorado,1-10,skywardstar.com,US
united kingdom,2011,hutch-games-ltd,computer games,linkedin.com/company/hutch-games-ltd,london,hutch games ltd,greater london,11-50,hutchgames.com,GB
,2011,super-polypixel,computer games,linkedin.com/company/super-polypixel,,super polypixel,,1-10,superpolypixel.com,
,2011,p4rc-inc-,computer games,linkedin.com/company/p4rc-inc-,,"p4rc, inc.",,11-50,p4rc.com,
united states,2011,evolved-software,computer games,linkedin.com/company/evolved-software,boca raton,evolved software,florida,1-10,evolvedsoftware.net,US
,2011,playweb-games-inc-,computer games,linkedin.com/company/playweb-games-inc-,,playweb games inc.,,51-200,playwebgames.ph,
united kingdom,2011,tecsport-games-ltd,computer games,linkedin.com/company/tecsport-games-ltd,,tecsport games ltd,,1-10,tecsport.co.uk,GB
united kingdom,2011,proper-qa-ltd,computer games,linkedin.com/company/proper-qa-ltd,,proper qa ltd,,1-10,properqa.com,GB
united kingdom,2011,project-swg,computer games,linkedin.com/company/project-swg,,project swg,,1-10,projectswg.com,GB
united states,2011,nakai-entertainment,computer games,linkedin.com/company/nakai-entertainment,raleigh,nakai entertainment,north carolina,1-10,nakaientertainment.com,US
australia,2011,crackerjack-games,computer games,linkedin.com/company/crackerjack-games,melbourne,crackerjack games,victoria,1-10,crackerjackgames.com,AU
mexico,2011,mihoyo,computer games,linkedin.com/company/mihoyo,china,mihoyo,nuevo leon,1001-5000,,MX
switzerland,2011,inovento,computer games,linkedin.com/company/inovento,suhr,inovento,aargau,1-10,inovento.com,CH
united states,2011,game-mechanics-llc,computer games,linkedin.com/company/game-mechanics-llc,san diego,game mechanics llc,california,1-10,gamemechanics.com,US
,2011,gamergaia,computer games,linkedin.com/company/gamergaia,,gamergaia,,11-50,gamergaia.com,
united states,2011,a-maniacal-game,computer games,linkedin.com/company/a-maniacal-game,burbank,a maniacal game,california,11-50,amaniacalgame.com,US
ukraine,2011,levelup-games,computer games,linkedin.com/company/levelup-games,kiev,levelup games,kyyiv,11-50,levelupers.com,UA
,2011,sobai-games,computer games,linkedin.com/company/sobai-games,,sobai games,,1-10,sobaigames.com,
,2011,tiktak-games,computer games,linkedin.com/company/tiktak-games,,tiktak games,,1-10,tiktakgames.com,
indonesia,2011,maulidan-games,computer games,linkedin.com/company/maulidan-games,surabaya,maulidan games,jawa timur,11-50,maulidangames.com,ID
india,2011,mango-games-interactive-pvt-ltd,computer games,linkedin.com/company/mango-games-interactive-pvt-ltd,bengaluru,mango games interactive pvt. ltd,karnataka,11-50,mangogames.com,IN
,2011,cyber-cradle-ltd-,computer games,linkedin.com/company/cyber-cradle-ltd-,,sample ltd.,,11-50,,
united kingdom,2011,paperseven-ltd,computer games,linkedin.com/company/paperseven-ltd,,paperseven,east sussex,1-10,paperseven.com,GB
united states,2011,wellplayed-productions,computer games,linkedin.com/company/wellplayed-productions,cambridge,wellplayed productions,massachusetts,11-50,wellplayed.org,US
,2011,admarch,computer games,linkedin.com/company/admarch,,admarch,,1-10,admarch.net,
estonia,2011,electronic-jaw,computer games,linkedin.com/company/electronic-jaw,,ejaw estonia ou,,11-50,ejaw.net,EE
united states,2011,re-logic,computer games,linkedin.com/company/re-logic,memphis,re-logic,indiana,11-50,re-logic.com,US
,2011,tapclap,computer games,linkedin.com/company/tapclap,,tapclap,,51-200,tapclap.com,
united kingdom,2011,playmob,computer games,linkedin.com/company/playmob,london,playmob,england,11-50,playmob.com,GB
united states,2011,camouflaj-game-studio,computer games,linkedin.com/company/camouflaj-game-studio,bellevue,camouflaj game studio,washington,11-50,camouflaj.com,US
,2011,motor-de-juegos-net,computer games,linkedin.com/company/motor-de-juegos-net,,motor de juegos.net,,1-10,motordejuegos.net,
united states,2011,subscience-studios,computer games,linkedin.com/company/subscience-studios,,subscience studios,,1-10,subsciencestudios.com,US
,2011,robot-panda-productions,computer games,linkedin.com/company/robot-panda-productions,,robot panda productions,,1-10,robotpandaproductions.com,
united kingdom,2011,kwalee-ltd,computer games,linkedin.com/company/kwalee-ltd,royal leamington spa,kwalee ltd,warwickshire,11-50,kwalee.com,GB
hong kong,2011,one-zero-digital-limited,computer games,linkedin.com/company/one-zero-digital-limited,,one zero digital limited,,1-10,onezero.com.hk,HK
united states,2011,appturn,computer games,linkedin.com/company/appturn,burlingame,appturn,california,11-50,appturn.com,US
australia,2011,minimega,computer games,linkedin.com/company/minimega,,minimega,,1-10,minimega.com.au,AU
,2011,kingdomgame-it,computer games,linkedin.com/company/kingdomgame-it,,kingdomgame.it,,11-50,kingdomgame.it,
,2011,friends-'n'-associates,computer games,linkedin.com/company/friends-'n'-associates,,friends 'n' associates,,1-10,friendsnassociates.com,
